,fc.dates,fc.name,fc.var,fc.value
max.1,2019-02-10,acapece,MAX,8.94285714285714
max.2,2019-02-11,acapece,MAX,8.94285714285714
max.3,2019-02-12,acapece,MAX,8.94285714285714
max.4,2019-02-13,acapece,MAX,8.94285714285714
max.5,2019-02-14,acapece,MAX,8.94285714285714
max.6,2019-02-15,acapece,MAX,8.94285714285714
max.7,2019-02-16,acapece,MAX,8.94285714285714
min.1,2019-02-10,acapece,MIN,-2.07142857142857
min.2,2019-02-11,acapece,MIN,-2.07142857142857
min.3,2019-02-12,acapece,MIN,-2.07142857142857
min.4,2019-02-13,acapece,MIN,-2.07142857142857
min.5,2019-02-14,acapece,MIN,-2.07142857142857
min.6,2019-02-15,acapece,MIN,-2.07142857142857
min.7,2019-02-16,acapece,MIN,-2.07142857142857
i_prcp.1,2019-02-10,acapece,I_PRCP,0.714285714285714
i_prcp.2,2019-02-11,acapece,I_PRCP,0.714285714285714
i_prcp.3,2019-02-12,acapece,I_PRCP,0.714285714285714
i_prcp.4,2019-02-13,acapece,I_PRCP,0.714285714285714
i_prcp.5,2019-02-14,acapece,I_PRCP,0.714285714285714
i_prcp.6,2019-02-15,acapece,I_PRCP,0.714285714285714
i_prcp.7,2019-02-16,acapece,I_PRCP,0.714285714285714
